City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,hadibu,12.65,54.0333,297.76,78,48,3.51,YE,1709329511
253,kannad,20.2667,75.1333,296.72,47,60,1.12,IN,1709329511
254,aksu,41.1231,80.2644,272.56,45,49,1.94,CN,1709329512
255,cabo san lucas,22.8909,-109.9124,299.6,62,75,3.13,MX,1709329032
256,payakumbuh,-0.2202,100.6308,295.45,98,97,0.37,ID,1709329513
257,glendive,47.1053,-104.7125,281.94,46,100,2.06,US,1709329429
258,karratha,-20.7377,116.8463,301.98,50,74,3.61,AU,1709329305
259,preobrazheniye,42.9019,133.9064,262.62,55,62,9.55,RU,1709329515
260,kingston,17.997,-76.7936,299.93,87,75,7.72,JM,1709329418
261,kasongo,-4.45,26.6667,294.36,97,100,1.13,CD,1709329516
262,talcahuano,-36.7167,-73.1167,294.97,46,0,9.26,CL,1709329515
263,parabel',58.6978,81.4825,254.07,100,64,2.28,RU,1709329517
264,charlottetown,46.2352,-63.1267,265.8,50,40,10.8,CA,1709329429
265,weno,7.4515,151.8468,301.12,78,100,4.12,FM,1709329046
266,elesbao veloso,-6.2019,-42.1403,300.05,78,99,1.02,BR,1709329518
267,naze,28.3667,129.4833,282.66,70,100,8.27,JP,1709329519
268,dzialdowo,53.2396,20.17,282.24,84,100,5.86,PL,1709329519
269,kankaanpaa,61.8,22.4167,273.57,90,87,3.86,FI,1709329337
270,olenino,56.2092,33.4889,273.57,95,100,1.98,RU,1709329520
271,luganville,-15.5333,167.1667,302.89,73,54,2.89,VU,1709329521
272,bel ombre,-4.6167,55.4167,298.06,94,75,3.6,SC,1709329521
273,mbala,-8.8402,31.3659,290.17,82,99,0.86,ZM,1709329522
274,kuytun,54.3419,101.5036,257.93,98,100,1.53,RU,1709329523
275,cumnock,55.4544,-4.2664,278.09,84,100,5.92,GB,1709329523
276,uusikaupunki,60.8004,21.4084,275.08,88,54,5.89,FI,1709329524
277,la passe,45.5549,-0.8967,282.28,76,100,7.05,FR,1709328966
278,uturoa,-16.7333,-151.4333,302.3,75,28,7.28,PF,1709329525
279,farasan,16.7022,42.1183,299.95,80,10,0.99,SA,1709329525
280,hilo,19.7297,-155.09,299.31,71,20,4.12,US,1709329249
281,neverkino,52.7854,46.7417,261.73,96,100,1.08,RU,1709329526
282,griffith,41.5284,-87.4237,281.22,47,100,4.63,US,1709328980
283,beloretsk,53.9631,58.3981,263.67,98,100,0.96,RU,1709329527
284,gounou gaya,9.6294,15.5132,305.18,14,100,3.2,TD,1709329528
285,ingeniero jacobacci,-41.3427,-69.5448,296.91,12,68,10.32,AR,1709329529
286,minas de marcona,-15.2119,-75.1103,294.52,72,91,4.67,PE,1709329529
287,lebu,-37.6167,-73.65,288.88,75,0,8.12,CL,1709329530
288,codrington,-38.2667,141.9667,288.32,71,99,5.24,AU,1709329001
289,peniche,39.3558,-9.3811,285.89,93,54,5.93,PT,1709329530
290,tegueste,28.5167,-16.3167,289.31,88,75,8.23,ES,1709329023
291,mount pleasant,32.7941,-79.8626,290.93,96,100,6.69,US,1709329176
292,san andres,12.5847,-81.7006,303.16,70,40,5.66,CO,1709329431
293,titao,13.7667,-2.0667,301.76,8,50,4.36,BF,1709329532
294,kajaani,64.2273,27.7285,272.18,86,75,5.66,FI,1709329533
295,sierra grande,-41.606,-65.3557,300.14,30,62,5.12,AR,1709329533
296,moree,-29.4667,149.85,301.14,45,1,7.09,AU,1709329534
297,posto fiscal rolim de moura,-13.0833,-62.2667,298.12,92,99,1.16,BR,1709329359
298,sernur,56.9333,49.1536,268.72,98,99,1.57,RU,1709329535
299,booue,-0.0921,11.9385,297.97,95,100,0.51,GA,1709329536
300,shemgang,27.2169,90.6579,280.68,87,77,1.07,BT,1709329536
301,campbellton,48.0075,-66.6727,264.4,60,99,5.59,CA,1709329537
302,ringkobing,56.0901,8.244,278.72,94,83,4.52,DK,1709329537
303,saint-louis,16.3333,-15.0,302.95,19,0,6.3,SN,1709329431
304,ardakan,32.31,54.0175,275.31,52,0,2.28,IR,1709329538
305,villa de san diego de ubate,5.3093,-73.8157,290.98,58,100,1.46,CO,1709329539
306,harstad,68.799,16.5293,277.12,74,98,3.16,NO,1709329539
307,karukh,34.4811,62.5863,263.35,85,79,3.66,AF,1709329540
308,souillac,-20.5167,57.5167,298.36,69,75,3.6,MU,1709329540
309,al ghayzah,16.2079,52.176,298.15,57,38,1.24,YE,1709328788
310,inirida,3.8653,-67.9239,301.03,70,100,1.08,CO,1709328958
